Interval;Power(W)
00:00;4096.08
00:15;4896.36
00:30;4538.16
00:45;4196.88
01:00;3866.58
01:15;3547.62
01:30;3256.74
01:45;2999.34
02:00;2792.34
02:15;2646.72
02:30;2546.1
02:45;2473.38
03:00;2422.98
03:15;2372.58
03:30;2322.18
03:45;2277.54
04:00;2238.3
04:15;2199.06
04:30;2171.16
04:45;2154.42
05:00;2143.26
05:15;2143.26
05:30;2148.84
05:45;2165.58
06:00;2187.9
06:15;2221.56
06:30;2260.62
06:45;2311.02
07:00;2372.58
07:15;2462.22
07:30;2607.66
07:45;2859.48
08:00;3262.32
08:15;3838.68
08:30;4549.32
08:45;5327.1
09:00;6099.3
09:15;6821.28
09:30;7481.52
09:45;8080.2
10:00;8617.5
10:15;9098.64
10:30;9540.72
10:45;9960.48
11:00;10385.64
11:15;10816.56
11:30;11224.98
11:45;11560.86
12:00;11784.6
12:15;11851.74
12:30;11762.28
12:45;11521.62
13:00;11129.94
13:15;10609.56
13:30;9999.54
13:45;9361.62
14:00;8757.36
14:15;8225.82
14:30;7772.4
14:45;7392.06
15:00;7078.68
15:15;6826.86
15:30;6608.52
15:45;6423.84
16:00;6239.34
16:15;6060.24
16:30;5925.96
16:45;5886.72
17:00;6009.84
17:15;6317.64
17:30;6765.3
17:45;7274.52
18:00;7778.16
18:15;8214.48
18:30;8589.42
18:45;8936.46
19:00;9266.58
19:15;9596.7
19:30;9870.84
19:45;10022.04
20:00;9966.06
20:15;9675
20:30;9216.18
20:45;8706.96
21:00;8242.56
21:15;7912.44
21:30;7677.36
21:45;7481.52
22:00;7263.18
22:15;6983.46
22:30;6636.6
22:45;6244.92
23:00;5819.58
23:15;5383.08
23:30;4946.58
23:45;4515.84