INTERVAL;POWER(W)
00:00;10
00:15;10
00:30;10
00:45;10
01:00;10
01:15;10
01:30;10
01:45;10
02:00;10
02:15;10
02:30;10
02:45;10
03:00;10
03:15;15
03:30;15
03:45;15
04:00;15
04:15;15
04:30;15
04:45;15
05:00;15
05:15;15
05:30;15
05:45;15
06:00;15
06:15;15
06:30;15
06:45;15
07:00;15
07:15;15
07:30;20
07:45;20
08:00;25
08:15;25
08:30;25
08:45;25
09:00;25
09:15;25
09:30;25
09:45;25
10:00;25
10:15;25
10:30;25
10:45;25
11:00;25
11:15;25
11:30;25
11:45;25
12:00;25
12:15;25
12:30;25
12:45;25
13:00;25
13:15;25
13:30;25
13:45;25
14:00;20
14:15;20
14:30;20
14:45;20
15:00;20
15:15;20
15:30;20
15:45;20
16:00;15
16:15;15
16:30;15
16:45;15
17:00;15
17:15;15
17:30;15
17:45;15
18:00;15
18:15;15
18:30;15
18:45;15
19:00;15
19:15;10
19:30;10
19:45;10
20:00;10
20:15;10
20:30;10
20:45;10
21:00;10
21:15;10
21:30;10
21:45;10
22:00;10
22:15;10
22:30;10
22:45;10
23:00;10
23:15;10
23:30;10
23:45;10