INTERVAL;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
00:00;0;0;0;0;0;0;0;0;0;0;0;0
00:15;0;0;0;0;0;0;0;0;0;0;0;0
00:30;0;0;0;0;0;0;0;0;0;0;0;0
00:45;0;0;0;0;0;0;0;0;0;0;0;0
01:00;0;0;0;0;0;0;0;0;0;0;0;0
01:15;0;0;0;0;0;0;0;0;0;0;0;0
01:30;0;0;0;0;0;0;0;0;0;0;0;0
01:45;0;0;0;0;0;0;0;0;0;0;0;0
02:00;0;0;0;0;0;0;0;0;0;0;0;0
02:15;0;0;0;0;0;0;0;0;0;0;0;0
02:30;0;0;0;0;0;0;0;0;0;0;0;0
02:45;0;0;0;0;0;0;0;0;0;0;0;0
03:00;0;0;0;0;0;0;0;0;0;0;0;0
03:15;0;0;0;0;0;0;0;0;0;0;0;0
03:30;0;0;0;0;0;0;0;0;0;0;0;0
03:45;0;0;0;0;0;0;0;0;0;0;0;0
04:00;0;0;0;0;0;0;0;0;0;0;0;0
04:15;0;0;0;0;0;0;0;0;0;0;0;0
04:30;0;0;0;0;0;0;0;0;0;0;0;0
04:45;0;0;0;0;0;0;0;0;0;0;0;0
05:00;0;0;0;0;0;0;0;0;0;0;0;0
05:15;0;0;0;0;0;0;0;0;0;0;0;0
05:30;0;0;0;0;0;0;0;0;0;0;0;0
05:45;0;0;0;0;0;0;0;0;0;0;0;0
06:00;0;0;0;0;0;0;0;0;0;0;0;0
06:15;0;0;0;0;0;0;0;0;0;0;0;0
06:30;0;0;0;0;0.00178302742206037;0.00136231448378341;0;0;0;0;0;0
06:45;0;0;0;0;0.00712143922781424;0.00794858311334215;0.00426971565286105;0.00110767113965717;0;0;0;0
07:00;0;0;0.00497289491267311;0.00327230747573431;0.0151657995014509;0.0171253221035457;0.0114003692529032;0.00526873430981422;0;0;0;0
07:15;0;0;0.0148392784676941;0.00948023020538649;0.0258330894920353;0.0288034748447181;0.0210809466608519;0.0124269219053726;0;0;0;0
07:30;0;0;0.0271743702315718;0.0184848065498495;0.0390134565431049;0.0428697461596484;0.033214490816953;0.0225035034454979;0.0048074432754064;0;0;0
07:45;0;0;0.0418217705049836;0.0301840072542375;0.054571336923459;0.0591877001168826;0.0476796165278778;0.0353875056709039;0.0140597918421914;0;0;0
08:00;0;0.0106915963672348;0.0585929206870283;0.04444468601962;0.0723468414556353;0.0775990820744541;0.064331718939357;0.050936933293731;0.0260469397699697;0;0.00561145289066867;0
08:15;0;0.0235430654449837;0.0772696502698685;0.0611041055100686;0.0921573897793205;0.0979253521436477;0.0830044131761394;0.0689803310067847;0.0406224885892468;0.0078570849627539;0.0162365646549645;0
08:30;0.00324326102147496;0.0382548837352631;0.0976071246119235;0.0799718025417574;0.113799576545596;0.119969415213763;0.103511190816692;0.0893186695694945;0.0576062223455953;0.0205599017239701;0.0281320361715434;0.00287025231145891
08:45;0.0129916931575398;0.0546117756548063;0.119337153623581;0.100831771075889;0.137051250467315;0.143517530774196;0.125647276711326;0.111727535222997;0.0767864144983666;0.0354489489517994;0.041102435502521;0.0115427977005101
09:00;0.0238950758562988;0.0723698569255687;0.142171816618157;0.123444937994641;0.161673784975268;0.16834138402795;0.149191667657876;0.135959598350022;0.0979225385862221;0.0523157338672981;0.0549294358477395;0.0211263673205231
09:15;0.0357691833894001;0.0912605704757555;0.165807354304778;0.14755190328355;0.187414517271354;0.194200298227799;0.17390933263855;0.161747334223474;0.120748347939125;0.0709195295711482;0.0693759103373493;0.0314483732458404
09:30;0.0484080020671875;0.110995024035397;0.189928275286823;0.172875913213173;0.214009330848765;0.22084356679789;0.199553552713116;0.18880596591453;0.144975284989324;0.0909910756782838;0.0841903871621358;0.0423177631428745
09:45;0.0615877492594691;0.131268659114695;0.214211621528378;0.199126032442336;0.241185355082774;0.248012882642887;0.22586837727322;0.216836596987256;0.170296176512014;0.11223672034944;0.0991117806654349;0.0535290248715377
10:00;0.0750712483243944;0.151766175679167;0.238331335101134;0.22600047868526;0.268663754299143;0.275444841105002;0.252591172204168;0.24552949951902;0.196389167463891;0.134342939824738;0.11387430878381;0.0648665056184402
10:15;0.0886125730839844;0.172166632688537;0.261962667154274;0.253190081721636;0.296162577812579;0.302873492315651;0.279455234585524;0.274567521277332;0.2229218430316;0.156981165739513;0.128212503685336;0.0761089536672445
10:30;0.101961870149936;0.192148641813543;0.284786569478761;0.280381827103486;0.323399641804481;0.33003291820981;0.306192447899414;0.303629574573005;0.249555486091269;0.179812845753322;0.141866220681397;0.0870341861525389
10:45;0.114870263880127;0.211395570132663;0.306494009272747;0.307262443941941;0.350095413583804;0.35665980923221;0.332535951312166;0.332394168411039;0.275949415545838;0.202494659422699;0.154585550514009;0.0974237834437885
11:00;0.127094747104417;0.229600667463709;0.326790148753386;0.333521995651767;0.375975868750493;0.382496015767457;0.358222796454782;0.360542945084344;0.301765349970891;0.224683808852291;0.166135541945285;0.107067710222891
11:15;0.138402961030349;0.246472035205617;0.345398333088093;0.358857432497626;0.400775292057902;0.407291049571109;0.382996565252226;0.387764182306563;0.326671740675488;0.246043302504523;0.17630064516426;0.115768764865081
11:30;0.148577769919804;0.261737356133939;0.362063832710593;0.382976065223835;0.424238993346092;0.430804510963219;0.406609922739271;0.413756222359312;0.35034801867622;0.266247150652627;0.184888791810833;0.123346762375467
11:45;0.157421540173513;0.27514830846769;0.37655728940879;0.405598919953923;0.44612591078598;0.452808418265203;0.428827079447911;0.438230790532038;0.37248870118537;0.284985392324235;0.191735034296926;0.129642361794773
12:00;0.164760039291699;0.286484592642683;0.388677819577722;0.426463935907123;0.466211074826087;0.473089416908128;0.449426138851624;0.460916166350505;0.392807305013466;0.301968876181622;0.19670467545077;0.134520456547313
12:15;0.170445877680662;0.295557505504214;0.3982557326674;0.445328969280525;0.484287907657484;0.491450846806512;0.4682013064961;0.481560172709306;0.411040016759724;0.316933721580137;0.199695829163216;0.137873055500786
12:30;0.174361425298796;0.302213003968213;0.405154828059536;0.461974568867286;0.500170334693666;0.507714647965076;0.484964938823051;0.499932950026898;0.426949072779117;0.329645390979709;0.200641363492354;0.139621593343099
12:45;0.176421145502957;0.306334208475771;0.40927423930854;0.476206491597573;0.513694686483553;0.52172308585341;0.499549411289699;0.515829484906506;0.440325805632191;0.339902310879502;0.199510189380104;0.139718621025286
13:00;0.176573299962394;0.307843305647195;0.410549800803749;0.487857929169865;0.524721371617834;0.533340279829936;0.511808787185543;0.529071865486735;0.45099331799575;0.347538985410354;0.196307870530228;0.138148840212893
13:15;0.174800990925454;0.306702819281073;0.408954918368704;0.496791420251596;0.533136303529565;0.542453519804965;0.521620270532237;0.539511238672265;0.458808749784274;0.352428554546041;0.191076542856444;0.134929459649967
13:30;0.171122520208382;0.302916229083456;0.404500932022207;0.502900426332071;0.538852066605449;0.548974358384575;0.528885428601953;0.547029447714403;0.463665109442446;0.354484757461974;0.183894144988292;0.130109865772429
13:45;0.165591057767469;0.296527927086118;0.397236965993968;0.50611055316566;0.541808809688764;0.552839467912611;0.533531171883277;0.551540332127538;0.465492645951618;0.353663270746491;0.174872974373225;0.123770614503764
14:00;0.158293626348785;0.287622512449533;0.3872492680222;0.506380403805455;0.541974857841282;0.554011254106194;0.535510481738388;0.552990675641958;0.46425974397597;0.34996240081382;0.164157596288758;0.116021765614537
14:15;0.149349422214569;0.276323436071549;0.374660046867572;0.50370205345012;0.539347036111262;0.55247822033869;0.534802878507219;0.551360791765228;0.459973330682106;0.343423119830328;0.151922145336298;0.107000595020492
14:30;0.138907505055064;0.262791016963031;0.359625823764163;0.498101140661384;0.533950701998213;0.548255079040319;0.531414625398314;0.546664740510727;0.452678789020785;0.3341284445931;0.138367070496095;0.0968687336336983
14:45;0.127143902650272;0.247219862535872;0.342335320101737;0.489636573906608;0.525839486282613;0.541382609136921;0.525378666136492;0.53895017390926;0.44245937858107;0.322202167936004;0.12371538536266;0.0858087935853871
15:00;0.114258187401567;0.229835734611831;0.32300690990573;0.478399856789944;0.515094744869592;0.531927260908292;0.516754296988101;0.528297812003162;0.42943517143464;0.307806962226747;0.108208494552079;0.0740205535476757
15:15;0.100469592280109;0.210891911945814;0.301885671567133;0.464514039706024;0.501824727249402;0.519980512094953;0.505626576429053;0.514820555087122;0.413761516600414;0.291141884205017;0.092101675299405;0.0617167842619515
15:30;0.0860127428314706;0.190665108218907;0.279240078694289;0.448132309931989;0.486163470073973;0.50565798149257;0.492105478332792;0.498662241961386;0.395627052797445;0.272439319647065;0.0756592997935537;0.049118803034415
15:45;0.0711330894542021;0.169451011662323;0.255358374839176;0.429436236317746;0.468269427158512;0.489098308623176;0.476324797108794;0.479996067856963;0.375251294939964;0.251961414983657;0.0591498887051553;0.0364518517211346
16:00;0.0560821300845001;0.147559518606596;0.230544681126101;0.408633688693261;0.448323849911138;0.470461810339002;0.458440815691654;0.459022679436201;0.352881825288291;0.229996050912785;0.0428410895565979;0.0239403964731931
16:15;0.0411125175528286;0.125309738211454;0.205114889422978;0.385956455839963;0.42652893474448;0.44992892737623;0.438630749641845;0.435967967824366;0.328791125233255;0.206852420113862;0.0269946750025063;0.0118034491672805
16:30;0.0264731481496362;0.103024849340366;0.179392396595658;0.361657589328299;0.403105756404861;0.427698475911331;0.417090982848154;0.411080583949625;0.303273088294783;0.182856277277256;0.0118616557062774;0.000250009973167881
16:45;0.0124043283013252;0.0810268929396491;0.153703737535005;0.336008503665555;0.378292008342883;0.403985721062139;0.394035112396575;0.384629203523557;0.276639258998626;0.158344934717758;0;0
17:00;0;0.0596315843264202;0.128374176015303;0.309295865991106;0.352339573221497;0.379020291001144;0.369691822070287;0.356899571748306;0.249214845806312;0.133662080764968;0;0
17:15;0;0.0391432294656657;0.103723313012851;0.281818310968427;0.325511948393805;0.353043951892954;0.344302605651461;0.32819136025964;0.221334559167561;0.109152500857032;0;0
17:30;0;0.019849827629463;0.0800607718773306;0.25388301852674;0.298081552665277;0.326308265216419;0.31811936269095;0.298814870880579;0.193338328004315;0.0851567827645019;0;0
17:45;0;0.00201843980837423;0.0576820187090815;0.225802193677127;0.270326941868404;0.299072150171633;0.291401890681594;0.269087622445457;0.165566949492688;0.0620060876152359;0;0
18:00;0;0;0.0368643744667385;0.197889488750359;0.242529961709937;0.271599374791726;0.264415298602222;0.239330858240495;0.138357727863474;0.0400170673753609;0;0
18:15;0;0;0.0178632727365464;0.170456409063601;0.214972866991934;0.244156000070182;0.23742736758228;0.209866012480243;0.112040158082488;0.0194870071810902;0;0
18:30;0;0;0.000908813772156116;0.143808743213112;0.187935436651585;0.217007801869724;0.210705884963415;0.181011174689841;0.086931709697121;0.000689267446533705;0;0
18:45;0;0;0;0.118243058907795;0.161692114107507;0.190417695594065;0.184515978299235;0.153077590886119;0.0633337648524326;0;0;0
19:00;0;0;0;0.0940433045072233;0.136509202141532;0.164643188577082;0.159117475835065;0.126366240045716;0.0415277625053413;0;0;0
19:15;0;0;0;0.0714775552162475;0.112642140987604;0.139933884875379;0.134762319745893;0.101164523520248;0.0217715982242601;0;0;0
19:30;0;0;0;0.0507949412302476;0.0903328974489236;0.116529066642415;0.111692057885448;0.0777431038160783;0.00429632568773012;0;0;0
19:45;0;0;0;0.0322227930396453;0.0698074917296388;0.0946553755203309;0.09013543901775;0.0563529275131901;0;0;0;0
20:00;0;0;0;0.0159640366132697;0.0512736872597705;0.0745246165164316;0.0703061354721986;0.0372224650720679;0;0;0;0
20:15;0;0;0;0.0021948683161384;0.0349188671260913;0.0563317056444407;0.052400615894707;0.0205551978916412;0;0;0;0
20:30;0;0;0;0;0.0209081188143284;0.0402527812175653;0.0365961892730639;0.00652738026151189;0;0;0;0
20:45;0;0;0;0;0.00938254683888656;0.0264434970946657;0.0230492397095695;0;0;0;0;0
21:00;0;0;0;0;0.00045783050699865;0.0150375144177157;0.0118936695149644;0;0;0;0;0
21:15;0;0;0;0;0;0.00614520645539237;0.00323956612369713;0;0;0;0;0
21:30;0;0;0;0;0;0;0;0;0;0;0;0
21:45;0;0;0;0;0;0;0;0;0;0;0;0
22:00;0;0;0;0;0;0;0;0;0;0;0;0
22:15;0;0;0;0;0;0;0;0;0;0;0;0
22:30;0;0;0;0;0;0;0;0;0;0;0;0
22:45;0;0;0;0;0;0;0;0;0;0;0;0
23:00;0;0;0;0;0;0;0;0;0;0;0;0
23:15;0;0;0;0;0;0;0;0;0;0;0;0
23:30;0;0;0;0;0;0;0;0;0;0;0;0
23:45;0;0;0;0;0;0;0;0;0;0;0;0
